Pt.        Date      Time        RT/s       R/Omiga    
  173  2018_12_06  10_50_49  1720.0     119.418150
  174  2018_12_06  10_50_59  1730.0     119.418240
  175  2018_12_06  10_51_09  1740.0     119.418120
  176  2018_12_06  10_51_19  1750.0     119.418450
  177  2018_12_06  10_51_29  1760.0     119.418420
  178  2018_12_06  10_51_39  1770.0     119.418560
  179  2018_12_06  10_51_49  1780.0     119.418500
  180  2018_12_06  10_51_59  1790.0     119.418500
  181  2018_12_06  10_52_09  1800.0     119.418360
  182  2018_12_06  10_52_19  1810.0     119.418300
  183  2018_12_06  10_52_29  1820.0     119.418240
  184  2018_12_06  10_52_39  1830.0     119.418120
  185  2018_12_06  10_52_49  1840.0     119.417770
  186  2018_12_06  10_52_59  1850.0     119.418120
  187  2018_12_06  10_53_09  1860.0     119.418120
  188  2018_12_06  10_53_19  1870.0     119.418390
  189  2018_12_06  10_53_29  1880.0     119.417890
  190  2018_12_06  10_53_39  1890.0     119.417950
  191  2018_12_06  10_53_49  1900.0     119.418150
  192  2018_12_06  10_53_59  1910.0     119.418210
  193  2018_12_06  10_54_09  1920.0     119.418330
  194  2018_12_06  10_54_19  1930.0     119.417800
  195  2018_12_06  10_54_29  1940.0     119.418150
  196  2018_12_06  10_54_39  1950.0     119.418710
  197  2018_12_06  10_54_49  1960.0     119.418420
  198  2018_12_06  10_54_59  1970.0     119.418270
  199  2018_12_06  10_55_09  1980.0     119.418240
  200  2018_12_06  10_55_19  1990.0     119.418420
  201  2018_12_06  10_55_29  2000.0     119.418360
  202  2018_12_06  10_55_39  2010.0     119.418210
  203  2018_12_06  10_55_49  2020.0     119.418620
  204  2018_12_06  10_55_59  2030.0     119.418390
  205  2018_12_06  10_56_09  2040.0     119.418530
  206  2018_12_06  10_56_19  2050.0     119.418330
  207  2018_12_06  10_56_29  2060.0     119.418620
  208  2018_12_06  10_56_39  2070.0     119.417920
  209  2018_12_06  10_56_49  2080.0     119.418030
  210  2018_12_06  10_56_59  2090.0     119.417890
  211  2018_12_06  10_57_09  2100.0     119.418330
  212  2018_12_06  10_57_19  2110.0     119.418300
  213  2018_12_06  10_57_29  2120.0     119.418480
  214  2018_12_06  10_57_39  2130.0     119.418560
  215  2018_12_06  10_57_49  2140.0     119.418560
  216  2018_12_06  10_57_59  2150.0     119.418300
  217  2018_12_06  10_58_09  2160.0     119.418420
  218  2018_12_06  10_58_19  2170.0     119.418330
  219  2018_12_06  10_58_29  2180.0     119.418300
  220  2018_12_06  10_58_39  2190.0     119.418710
  221  2018_12_06  10_58_49  2200.0     119.418420
  222  2018_12_06  10_58_59  2210.0     119.419120
  223  2018_12_06  10_59_09  2220.0     119.419000
  224  2018_12_06  10_59_19  2230.0     119.418500
  225  2018_12_06  10_59_29  2240.0     119.418650
  226  2018_12_06  10_59_39  2250.0     119.418210
  227  2018_12_06  10_59_49  2260.0     119.418590
  228  2018_12_06  10_59_59  2270.0     119.418420
  229  2018_12_06  11_00_09  2280.0     119.418360
  230  2018_12_06  11_00_19  2290.0     119.418560
  231  2018_12_06  11_00_29  2300.0     119.418360
  232  2018_12_06  11_00_39  2310.0     119.418240
  233  2018_12_06  11_00_49  2320.0     119.418530
  234  2018_12_06  11_00_59  2330.0     119.418560
  235  2018_12_06  11_01_09  2340.0     119.418330
  236  2018_12_06  11_01_19  2350.0     119.418480
  237  2018_12_06  11_01_29  2360.0     119.418210
  238  2018_12_06  11_01_39  2370.0     119.418830
  239  2018_12_06  11_01_49  2380.0     119.418330
  240  2018_12_06  11_01_59  2390.0     119.418560
  241  2018_12_06  11_02_09  2400.0     119.418740
  242  2018_12_06  11_02_19  2410.0     119.418530
  243  2018_12_06  11_02_29  2420.0     119.418330
  244  2018_12_06  11_02_39  2430.0     119.418330
  245  2018_12_06  11_02_49  2440.0     119.418740
  246  2018_12_06  11_02_59  2450.0     119.418480
  247  2018_12_06  11_03_09  2460.0     119.418920
  248  2018_12_06  11_03_19  2470.0     119.418740
  249  2018_12_06  11_03_29  2480.0     119.419360
  250  2018_12_06  11_03_39  2490.0     119.418530
  251  2018_12_06  11_03_49  2500.0     119.419090
  252  2018_12_06  11_03_59  2510.0     119.418970
  253  2018_12_06  11_04_09  2520.0     119.418800
  254  2018_12_06  11_04_19  2530.0     119.419090
  255  2018_12_06  11_04_29  2540.0     119.419000
  256  2018_12_06  11_04_39  2550.0     119.418500
  257  2018_12_06  11_04_49  2560.0     119.418800
  258  2018_12_06  11_04_59  2570.0     119.418920
  259  2018_12_06  11_05_09  2580.0     119.419000
  260  2018_12_06  11_05_19  2590.0     119.418950
  261  2018_12_06  11_05_29  2600.0     119.418590
  262  2018_12_06  11_05_39  2610.0     119.418710
  263  2018_12_06  11_05_49  2620.0     119.418970
  264  2018_12_06  11_05_59  2630.0     119.418770
  265  2018_12_06  11_06_09  2640.0     119.418590
  266  2018_12_06  11_06_19  2650.0     119.418620
  267  2018_12_06  11_06_29  2660.0     119.418420
  268  2018_12_06  11_06_39  2670.0     119.419150
  269  2018_12_06  11_06_49  2680.0     119.418740
  270  2018_12_06  11_06_59  2690.0     119.419180
  271  2018_12_06  11_07_09  2700.0     119.419030
  272  2018_12_06  11_07_19  2710.0     119.418890
  273  2018_12_06  11_07_29  2720.0     119.419150
  274  2018_12_06  11_07_39  2730.0     119.419360
  275  2018_12_06  11_07_49  2740.0     119.418830
  276  2018_12_06  11_07_59  2750.0     119.418740
  277  2018_12_06  11_08_09  2760.0     119.419240
  278  2018_12_06  11_08_19  2770.0     119.418770
  279  2018_12_06  11_08_29  2780.0     119.418770
  280  2018_12_06  11_08_39  2790.0     119.418970
  281  2018_12_06  11_08_49  2800.0     119.418830
  282  2018_12_06  11_08_59  2810.0     119.419090
  283  2018_12_06  11_09_09  2820.0     119.419000
  284  2018_12_06  11_09_19  2830.0     119.419270
  285  2018_12_06  11_09_29  2840.0     119.418800
  286  2018_12_06  11_09_39  2850.0     119.419000
  287  2018_12_06  11_09_49  2860.0     119.419150
  288  2018_12_06  11_09_59  2870.0     119.419060
  289  2018_12_06  11_10_09  2880.0     119.418860
  290  2018_12_06  11_10_19  2890.0     119.418800
  291  2018_12_06  11_10_29  2900.0     119.418970
  292  2018_12_06  11_10_39  2910.0     119.419210
  293  2018_12_06  11_10_49  2920.0     119.418890
  294  2018_12_06  11_10_59  2930.0     119.418650
  295  2018_12_06  11_11_09  2940.0     119.418830
  296  2018_12_06  11_11_19  2950.0     119.418680
  297  2018_12_06  11_11_29  2960.0     119.418680
  298  2018_12_06  11_11_39  2970.0     119.419330
  299  2018_12_06  11_11_49  2980.0     119.418920
  300  2018_12_06  11_11_59  2990.0     119.419150
  301  2018_12_06  11_12_09  3000.0     119.418950
  302  2018_12_06  11_12_19  3010.0     119.418620
  303  2018_12_06  11_12_29  3020.0     119.418450
  304  2018_12_06  11_12_39  3030.0     119.418090
  305  2018_12_06  11_12_49  3040.0     119.418710
  306  2018_12_06  11_12_59  3050.0     119.418530
  307  2018_12_06  11_13_09  3060.0     119.418450
