Pt.        Date      Time        RT/s       R/Omiga    
  323  2018_08_30  09_00_28  3220.0     111.696580
  324  2018_08_30  09_00_38  3230.0     111.696990
  325  2018_08_30  09_00_48  3240.0     111.696730
  326  2018_08_30  09_00_58  3250.0     111.696870
  327  2018_08_30  09_01_08  3260.0     111.696870
  328  2018_08_30  09_01_18  3270.0     111.697110
  329  2018_08_30  09_01_28  3280.0     111.697550
  330  2018_08_30  09_01_38  3290.0     111.698050
  331  2018_08_30  09_01_48  3300.0     111.697780
  332  2018_08_30  09_01_58  3310.0     111.698050
  333  2018_08_30  09_02_08  3320.0     111.698250
  334  2018_08_30  09_02_18  3330.0     111.698930
  335  2018_08_30  09_02_28  3340.0     111.699280
  336  2018_08_30  09_02_38  3350.0     111.699610
  337  2018_08_30  09_02_48  3360.0     111.699220
  338  2018_08_30  09_02_58  3370.0     111.699580
  339  2018_08_30  09_03_08  3380.0     111.699690
  340  2018_08_30  09_03_18  3390.0     111.699690
  341  2018_08_30  09_03_28  3400.0     111.699900
  342  2018_08_30  09_03_38  3410.0     111.699960
  343  2018_08_30  09_03_48  3420.0     111.699140
  344  2018_08_30  09_03_58  3430.0     111.699400
  345  2018_08_30  09_04_08  3440.0     111.699080
  346  2018_08_30  09_04_18  3450.0     111.698310
  347  2018_08_30  09_04_28  3460.0     111.698340
  348  2018_08_30  09_04_38  3470.0     111.697780
  349  2018_08_30  09_04_48  3480.0     111.697400
  350  2018_08_30  09_04_58  3490.0     111.697460
  351  2018_08_30  09_05_08  3500.0     111.697580
  352  2018_08_30  09_05_18  3510.0     111.697290
  353  2018_08_30  09_05_28  3520.0     111.697310
  354  2018_08_30  09_05_38  3530.0     111.697430
  355  2018_08_30  09_05_48  3540.0     111.697520
  356  2018_08_30  09_05_58  3550.0     111.697840
  357  2018_08_30  09_06_08  3560.0     111.698430
  358  2018_08_30  09_06_18  3570.0     111.699140
  359  2018_08_30  09_06_28  3580.0     111.699870
  360  2018_08_30  09_06_38  3590.0     111.700430
  361  2018_08_30  09_06_48  3600.0     111.701370
  362  2018_08_30  09_06_58  3610.0     111.702220
  363  2018_08_30  09_07_08  3620.0     111.703070
  364  2018_08_30  09_07_18  3630.0     111.704160
  365  2018_08_30  09_07_28  3640.0     111.705010
  366  2018_08_30  09_07_38  3650.0     111.705800
  367  2018_08_30  09_07_48  3660.0     111.706450
  368  2018_08_30  09_07_58  3670.0     111.707480
  369  2018_08_30  09_08_08  3680.0     111.708530
  370  2018_08_30  09_08_18  3690.0     111.709000
  371  2018_08_30  09_08_28  3700.0     111.709910
  372  2018_08_30  09_08_38  3710.0     111.709530
  373  2018_08_30  09_08_48  3720.0     111.709940
  374  2018_08_30  09_08_58  3730.0     111.710410
  375  2018_08_30  09_09_08  3740.0     111.710820
  376  2018_08_30  09_09_18  3750.0     111.710790
  377  2018_08_30  09_09_28  3760.0     111.711560
  378  2018_08_30  09_09_38  3770.0     111.711290
  379  2018_08_30  09_09_48  3780.0     111.712090
  380  2018_08_30  09_09_58  3790.0     111.712090
  381  2018_08_30  09_10_08  3800.0     111.712970
  382  2018_08_30  09_10_18  3810.0     111.713380
  383  2018_08_30  09_10_28  3820.0     111.713700
  384  2018_08_30  09_10_38  3830.0     111.714170
