Pt.	Date	Time	RT/s	R/Omiga	
	2988	2018_02_14	01_10_03	56530	107.64359
	2989	2018_02_14	01_10_13	56520	107.64397
	2990	2018_02_14	01_10_23	56510	107.64406
	2991	2018_02_14	01_10_33	56500	107.64368
	2992	2018_02_14	01_10_43	56490	107.644
	2993	2018_02_14	01_10_53	56480	107.64403
	2994	2018_02_14	01_11_03	56470	107.64418
	2995	2018_02_14	01_11_13	56460	107.64394
	2996	2018_02_14	01_11_23	56450	107.64386
	2997	2018_02_14	01_11_33	56440	107.64409
	2998	2018_02_14	01_11_43	56430	107.6438
	2999	2018_02_14	01_11_53	56420	107.64427
	3000	2018_02_14	01_12_03	56410	107.64435
	3001	2018_02_14	01_12_13	56400	107.64389
	3002	2018_02_14	01_12_23	56390	107.64409
	3003	2018_02_14	01_12_33	56380	107.6443
	3004	2018_02_14	01_12_43	56370	107.64438
	3005	2018_02_14	01_12_53	56360	107.64456
	3006	2018_02_14	01_13_03	56350	107.64456
	3007	2018_02_14	01_13_13	56340	107.64421
	3008	2018_02_14	01_13_23	56330	107.64347
	3009	2018_02_14	01_13_33	56320	107.64394
	3010	2018_02_14	01_13_43	56310	107.64468
	3011	2018_02_14	01_13_53	56300	107.6448
	3012	2018_02_14	01_14_03	56290	107.64444
	3013	2018_02_14	01_14_13	56280	107.64433
	3014	2018_02_14	01_14_23	56270	107.64424
	3015	2018_02_14	01_14_33	56260	107.64415
	3016	2018_02_14	01_14_43	56250	107.64397
	3017	2018_02_14	01_14_53	56240	107.64418
	3018	2018_02_14	01_15_03	56230	107.64397
	3019	2018_02_14	01_15_13	56220	107.6438
	3020	2018_02_14	01_15_23	56210	107.64386
	3021	2018_02_14	01_15_33	56200	107.644
	3022	2018_02_14	01_15_43	56190	107.64368
	3023	2018_02_14	01_15_53	56180	107.644
	3024	2018_02_14	01_16_03	56170	107.64397
	3025	2018_02_14	01_16_13	56160	107.64406
	3026	2018_02_14	01_16_23	56150	107.64441
	3027	2018_02_14	01_16_33	56140	107.64415
	3028	2018_02_14	01_16_43	56130	107.64418
	3029	2018_02_14	01_16_53	56120	107.64371
	3030	2018_02_14	01_17_03	56110	107.64427
	3031	2018_02_14	01_17_13	56100	107.64394
	3032	2018_02_14	01_17_23	56090	107.64441
	3033	2018_02_14	01_17_33	56080	107.64453
	3034	2018_02_14	01_17_43	56070	107.64421
	3035	2018_02_14	01_17_53	56060	107.6445
	3036	2018_02_14	01_18_03	56050	107.64444
	3037	2018_02_14	01_18_13	56040	107.6443
	3038	2018_02_14	01_18_23	56030	107.64456
	3039	2018_02_14	01_18_33	56020	107.64444
	3040	2018_02_14	01_18_43	56010	107.64406
	3041	2018_02_14	01_18_53	56000	107.64427
	3042	2018_02_14	01_19_03	55990	107.64438
	3043	2018_02_14	01_19_13	55980	107.64409
	3044	2018_02_14	01_19_23	55970	107.64435
	3045	2018_02_14	01_19_33	55960	107.64418
	3046	2018_02_14	01_19_43	55950	107.64482
	3047	2018_02_14	01_19_53	55940	107.64421
	3048	2018_02_14	01_20_03	55930	107.64438
	3049	2018_02_14	01_20_13	55920	107.64397
	3050	2018_02_14	01_20_23	55910	107.64406
	3051	2018_02_14	01_20_33	55900	107.64389
	3052	2018_02_14	01_20_43	55890	107.64391
	3053	2018_02_14	01_20_53	55880	107.64344
	3054	2018_02_14	01_21_03	55870	107.64383
	3055	2018_02_14	01_21_13	55860	107.64383
	3056	2018_02_14	01_21_23	55850	107.64386
	3057	2018_02_14	01_21_33	55840	107.644
	3058	2018_02_14	01_21_43	55830	107.64365
	3059	2018_02_14	01_21_53	55820	107.64374
	3060	2018_02_14	01_22_03	55810	107.64421
	3061	2018_02_14	01_22_13	55800	107.64397
	3062	2018_02_14	01_22_23	55790	107.64394
	3063	2018_02_14	01_22_33	55780	107.6438
	3064	2018_02_14	01_22_43	55770	107.64383
	3065	2018_02_14	01_22_53	55760	107.6443
	3066	2018_02_14	01_23_03	55750	107.64456
	3067	2018_02_14	01_23_13	55740	107.64415
	3068	2018_02_14	01_23_23	55730	107.64377
	3069	2018_02_14	01_23_33	55720	107.6443
	3070	2018_02_14	01_23_43	55710	107.64444
	3071	2018_02_14	01_23_53	55700	107.64383
	3072	2018_02_14	01_24_03	55690	107.64441
	3073	2018_02_14	01_24_13	55680	107.64386
	3074	2018_02_14	01_24_23	55670	107.64353
	3075	2018_02_14	01_24_33	55660	107.64389
	3076	2018_02_14	01_24_43	55650	107.64394
	3077	2018_02_14	01_24_53	55640	107.6443
	3078	2018_02_14	01_25_03	55630	107.64412
	3079	2018_02_14	01_25_13	55620	107.64333
	3080	2018_02_14	01_25_23	55610	107.64344
	3081	2018_02_14	01_25_33	55600	107.64359
	3082	2018_02_14	01_25_43	55590	107.64406
	3083	2018_02_14	01_25_53	55580	107.64342
	3084	2018_02_14	01_26_03	55570	107.64339
	3085	2018_02_14	01_26_13	55560	107.64318
	3086	2018_02_14	01_26_23	55550	107.6428
	3087	2018_02_14	01_26_33	55540	107.6435
	3088	2018_02_14	01_26_43	55530	107.64368
	3089	2018_02_14	01_26_53	55520	107.64342
	3090	2018_02_14	01_27_03	55510	107.64353
	3091	2018_02_14	01_27_13	55500	107.64409
	3092	2018_02_14	01_27_23	55490	107.64342
	3093	2018_02_14	01_27_33	55480	107.64368
	3094	2018_02_14	01_27_43	55470	107.64365
	3095	2018_02_14	01_27_53	55460	107.64356
	3096	2018_02_14	01_28_03	55450	107.64403
	3097	2018_02_14	01_28_13	55440	107.64389
	3098	2018_02_14	01_28_23	55430	107.64347
	3099	2018_02_14	01_28_33	55420	107.64347
	3100	2018_02_14	01_28_43	55410	107.64353
	3101	2018_02_14	01_28_53	55400	107.6435
	3102	2018_02_14	01_29_03	55390	107.644
	3103	2018_02_14	01_29_13	55380	107.64427
	3104	2018_02_14	01_29_23	55370	107.64403
	3105	2018_02_14	01_29_33	55360	107.64386
	3106	2018_02_14	01_29_43	55350	107.64403
	3107	2018_02_14	01_29_53	55340	107.64374
	3108	2018_02_14	01_30_03	55330	107.64389
	3109	2018_02_14	01_30_13	55320	107.64421
	3110	2018_02_14	01_30_23	55310	107.64391
	3111	2018_02_14	01_30_33	55300	107.64406
	3112	2018_02_14	01_30_43	55290	107.64383
	3113	2018_02_14	01_30_53	55280	107.64353
	3114	2018_02_14	01_31_03	55270	107.64409
	3115	2018_02_14	01_31_13	55260	107.64374
	3116	2018_02_14	01_31_23	55250	107.6438
	3117	2018_02_14	01_31_33	55240	107.64356
	3118	2018_02_14	01_31_43	55230	107.64362
	3119	2018_02_14	01_31_53	55220	107.64359
	3120	2018_02_14	01_32_03	55210	107.64356
	3121	2018_02_14	01_32_13	55200	107.64324
	3122	2018_02_14	01_32_23	55190	107.64327
	3123	2018_02_14	01_32_33	55180	107.64318
	3124	2018_02_14	01_32_43	55170	107.64353
	3125	2018_02_14	01_32_53	55160	107.64283
	3126	2018_02_14	01_33_03	55150	107.64342
	3127	2018_02_14	01_33_13	55140	107.64333
	3128	2018_02_14	01_33_23	55130	107.64339
	3129	2018_02_14	01_33_33	55120	107.64344
	3130	2018_02_14	01_33_43	55110	107.64336
	3131	2018_02_14	01_33_53	55100	107.64344
	3132	2018_02_14	01_34_03	55090	107.6433
	3133	2018_02_14	01_34_13	55080	107.64312
	3134	2018_02_14	01_34_23	55070	107.64344
	3135	2018_02_14	01_34_33	55060	107.64309
	3136	2018_02_14	01_34_43	55050	107.64347
	3137	2018_02_14	01_34_53	55040	107.64339
	3138	2018_02_14	01_35_03	55030	107.64342
	3139	2018_02_14	01_35_13	55020	107.64306
	3140	2018_02_14	01_35_23	55010	107.64242
	3141	2018_02_14	01_35_33	55000	107.64292
	3142	2018_02_14	01_35_43	54990	107.64324
	3143	2018_02_14	01_35_53	54980	107.643
	3144	2018_02_14	01_36_03	54970	107.64303
	3145	2018_02_14	01_36_13	54960	107.64306
	3146	2018_02_14	01_36_23	54950	107.64324
	3147	2018_02_14	01_36_33	54940	107.64315
	3148	2018_02_14	01_36_43	54930	107.64353
	3149	2018_02_14	01_36_53	54920	107.64309
	3150	2018_02_14	01_37_03	54910	107.64371
	3151	2018_02_14	01_37_13	54900	107.64374
	3152	2018_02_14	01_37_23	54890	107.64342
	3153	2018_02_14	01_37_33	54880	107.64386
	3154	2018_02_14	01_37_43	54870	107.64377
	3155	2018_02_14	01_37_53	54860	107.64389
	3156	2018_02_14	01_38_03	54850	107.64356
	3157	2018_02_14	01_38_13	54840	107.64371
	3158	2018_02_14	01_38_23	54830	107.6433
	3159	2018_02_14	01_38_33	54820	107.6438
	3160	2018_02_14	01_38_43	54810	107.64365
	3161	2018_02_14	01_38_53	54800	107.64356
	3162	2018_02_14	01_39_03	54790	107.64359
	3163	2018_02_14	01_39_13	54780	107.64318
	3164	2018_02_14	01_39_23	54770	107.64359
	3165	2018_02_14	01_39_33	54760	107.64318
	3166	2018_02_14	01_39_43	54750	107.64359
	3167	2018_02_14	01_39_53	54740	107.64336
	3168	2018_02_14	01_40_03	54730	107.64336
	3169	2018_02_14	01_40_13	54720	107.64333
	3170	2018_02_14	01_40_23	54710	107.64315
	3171	2018_02_14	01_40_33	54700	107.64306
	3172	2018_02_14	01_40_43	54690	107.64292
	3173	2018_02_14	01_40_53	54680	107.64268
	3174	2018_02_14	01_41_03	54670	107.64292
	3175	2018_02_14	01_41_13	54660	107.64256
	3176	2018_02_14	01_41_23	54650	107.64286
	3177	2018_02_14	01_41_33	54640	107.64292
	3178	2018_02_14	01_41_43	54630	107.64242
	3179	2018_02_14	01_41_53	54620	107.64236
	3180	2018_02_14	01_42_03	54610	107.64295
	3181	2018_02_14	01_42_13	54600	107.643
	3182	2018_02_14	01_42_23	54590	107.64265
	3183	2018_02_14	01_42_33	54580	107.64233
	3184	2018_02_14	01_42_43	54570	107.643
	3185	2018_02_14	01_42_53	54560	107.64292
	3186	2018_02_14	01_43_03	54550	107.64312
	3187	2018_02_14	01_43_13	54540	107.64315
	3188	2018_02_14	01_43_23	54530	107.64265
	3189	2018_02_14	01_43_33	54520	107.64277
	3190	2018_02_14	01_43_43	54510	107.64259
	3191	2018_02_14	01_43_53	54500	107.64292
	3192	2018_02_14	01_44_03	54490	107.64253
	3193	2018_02_14	01_44_13	54480	107.64321
	3194	2018_02_14	01_44_23	54470	107.64283
	3195	2018_02_14	01_44_33	54460	107.6428
	3196	2018_02_14	01_44_43	54450	107.64265
	3197	2018_02_14	01_44_53	54440	107.64283
	3198	2018_02_14	01_45_03	54430	107.64303
	3199	2018_02_14	01_45_13	54420	107.64215
	3200	2018_02_14	01_45_23	54410	107.64233
	3201	2018_02_14	01_45_33	54400	107.64253
	3202	2018_02_14	01_45_43	54390	107.64271
	3203	2018_02_14	01_45_53	54380	107.64242
	3204	2018_02_14	01_46_03	54370	107.64239
	3205	2018_02_14	01_46_13	54360	107.64248
	3206	2018_02_14	01_46_23	54350	107.64212
	3207	2018_02_14	01_46_33	54340	107.64245
	3208	2018_02_14	01_46_43	54330	107.64245
	3209	2018_02_14	01_46_53	54320	107.6423
	3210	2018_02_14	01_47_03	54310	107.64239
	3211	2018_02_14	01_47_13	54300	107.64239
	3212	2018_02_14	01_47_23	54290	107.6428
	3213	2018_02_14	01_47_33	54280	107.64271
	3214	2018_02_14	01_47_43	54270	107.64227
	3215	2018_02_14	01_47_53	54260	107.64224
	3216	2018_02_14	01_48_03	54250	107.64236
	3217	2018_02_14	01_48_13	54240	107.64248
	3218	2018_02_14	01_48_23	54230	107.64256
	3219	2018_02_14	01_48_33	54220	107.64253
	3220	2018_02_14	01_48_43	54210	107.64256
	3221	2018_02_14	01_48_53	54200	107.64233
	3222	2018_02_14	01_49_03	54190	107.64248
	3223	2018_02_14	01_49_13	54180	107.64268
	3224	2018_02_14	01_49_23	54170	107.64292
	3225	2018_02_14	01_49_33	54160	107.64271
	3226	2018_02_14	01_49_43	54150	107.64256
	3227	2018_02_14	01_49_53	54140	107.64206
	3228	2018_02_14	01_50_03	54130	107.64245
	3229	2018_02_14	01_50_13	54120	107.64271
	3230	2018_02_14	01_50_23	54110	107.64277
	3231	2018_02_14	01_50_33	54100	107.64303
	3232	2018_02_14	01_50_43	54090	107.64274
	3233	2018_02_14	01_50_53	54080	107.64253
	3234	2018_02_14	01_51_03	54070	107.64262
	3235	2018_02_14	01_51_13	54060	107.64315
	3236	2018_02_14	01_51_23	54050	107.64292
	3237	2018_02_14	01_51_33	54040	107.64286
	3238	2018_02_14	01_51_43	54030	107.64256
	3239	2018_02_14	01_51_53	54020	107.64242
	3240	2018_02_14	01_52_03	54010	107.64242
	3241	2018_02_14	01_52_13	54000	107.64265
	3242	2018_02_14	01_52_23	53990	107.6425
	3243	2018_02_14	01_52_33	53980	107.64245
	3244	2018_02_14	01_52_43	53970	107.64227
	3245	2018_02_14	01_52_53	53960	107.64265
	3246	2018_02_14	01_53_03	53950	107.64262
	3247	2018_02_14	01_53_13	53940	107.64203
	3248	2018_02_14	01_53_23	53930	107.64192
	3249	2018_02_14	01_53_33	53920	107.64212
	3250	2018_02_14	01_53_43	53910	107.64215
	3251	2018_02_14	01_53_53	53900	107.64215
	3252	2018_02_14	01_54_03	53890	107.64221
	3253	2018_02_14	01_54_13	53880	107.6423
	3254	2018_02_14	01_54_23	53870	107.64183
	3255	2018_02_14	01_54_33	53860	107.64186
	3256	2018_02_14	01_54_43	53850	107.64209
	3257	2018_02_14	01_54_53	53840	107.64233
	3258	2018_02_14	01_55_03	53830	107.64221
	3259	2018_02_14	01_55_13	53820	107.64198
	3260	2018_02_14	01_55_23	53810	107.64195
	3261	2018_02_14	01_55_33	53800	107.64209
	3262	2018_02_14	01_55_43	53790	107.64174
	3263	2018_02_14	01_55_53	53780	107.64168
	3264	2018_02_14	01_56_03	53770	107.64198
	3265	2018_02_14	01_56_13	53760	107.64203
	3266	2018_02_14	01_56_23	53750	107.64183
	3267	2018_02_14	01_56_33	53740	107.64215
	3268	2018_02_14	01_56_43	53730	107.64227
	3269	2018_02_14	01_56_53	53720	107.64195
	3270	2018_02_14	01_57_03	53710	107.64186
	3271	2018_02_14	01_57_13	53700	107.64209
	3272	2018_02_14	01_57_23	53690	107.6425
	3273	2018_02_14	01_57_33	53680	107.6425
	3274	2018_02_14	01_57_43	53670	107.64265
	3275	2018_02_14	01_57_53	53660	107.64242
	3276	2018_02_14	01_58_03	53650	107.64256
	3277	2018_02_14	01_58_13	53640	107.64242
	3278	2018_02_14	01_58_23	53630	107.64306
	3279	2018_02_14	01_58_33	53620	107.64277
	3280	2018_02_14	01_58_43	53610	107.64333
	3281	2018_02_14	01_58_53	53600	107.64283
	3282	2018_02_14	01_59_03	53590	107.6425
	3283	2018_02_14	01_59_13	53580	107.64286
	3284	2018_02_14	01_59_23	53570	107.6428
	3285	2018_02_14	01_59_33	53560	107.64295
	3286	2018_02_14	01_59_43	53550	107.64256
	3287	2018_02_14	01_59_53	53540	107.6423
	3288	2018_02_14	02_00_03	53530	107.64236
	3289	2018_02_14	02_00_13	53520	107.64212
	3290	2018_02_14	02_00_23	53510	107.64192
	3291	2018_02_14	02_00_33	53500	107.64165
	3292	2018_02_14	02_00_43	53490	107.64198
	3293	2018_02_14	02_00_53	53480	107.64212
	3294	2018_02_14	02_01_03	53470	107.64206
	3295	2018_02_14	02_01_13	53460	107.64177
	3296	2018_02_14	02_01_23	53450	107.64203
	3297	2018_02_14	02_01_33	53440	107.6423
	3298	2018_02_14	02_01_43	53430	107.64192
	3299	2018_02_14	02_01_53	53420	107.64171
	3300	2018_02_14	02_02_03	53410	107.64206
	3301	2018_02_14	02_02_13	53400	107.64189
	3302	2018_02_14	02_02_23	53390	107.64189
	3303	2018_02_14	02_02_33	53380	107.64136
	3304	2018_02_14	02_02_43	53370	107.64201
	3305	2018_02_14	02_02_53	53360	107.64186
	3306	2018_02_14	02_03_03	53350	107.64192
	3307	2018_02_14	02_03_13	53340	107.64203
	3308	2018_02_14	02_03_23	53330	107.64151
	3309	2018_02_14	02_03_33	53320	107.6413
	3310	2018_02_14	02_03_43	53310	107.64115
	3311	2018_02_14	02_03_53	53300	107.64151
	3312	2018_02_14	02_04_03	53290	107.64121
	3313	2018_02_14	02_04_13	53280	107.6413
	3314	2018_02_14	02_04_23	53270	107.64077
	3315	2018_02_14	02_04_33	53260	107.64018
	3316	2018_02_14	02_04_43	53250	107.64077
	3317	2018_02_14	02_04_53	53240	107.64057
	3318	2018_02_14	02_05_03	53230	107.64118
	3319	2018_02_14	02_05_13	53220	107.64063
	3320	2018_02_14	02_05_23	53210	107.64054
	3321	2018_02_14	02_05_33	53200	107.64048
	3322	2018_02_14	02_05_43	53190	107.64068
	3323	2018_02_14	02_05_53	53180	107.64068
	3324	2018_02_14	02_06_03	53170	107.6406
	3325	2018_02_14	02_06_13	53160	107.64065
	3326	2018_02_14	02_06_23	53150	107.64077
	3327	2018_02_14	02_06_33	53140	107.6408
	3328	2018_02_14	02_06_43	53130	107.64092
	3329	2018_02_14	02_06_53	53120	107.64101
	3330	2018_02_14	02_07_03	53110	107.64063
	3331	2018_02_14	02_07_13	53100	107.6406
	3332	2018_02_14	02_07_23	53090	107.64101
	3333	2018_02_14	02_07_33	53080	107.64101
	3334	2018_02_14	02_07_43	53070	107.64074
	3335	2018_02_14	02_07_53	53060	107.64071
	3336	2018_02_14	02_08_03	53050	107.64074
	3337	2018_02_14	02_08_13	53040	107.64124
	3338	2018_02_14	02_08_23	53030	107.64083
	3339	2018_02_14	02_08_33	53020	107.64136
	3340	2018_02_14	02_08_43	53010	107.64148
	3341	2018_02_14	02_08_53	53000	107.64104
	3342	2018_02_14	02_09_03	52990	107.64165
	3343	2018_02_14	02_09_13	52980	107.64148
	3344	2018_02_14	02_09_23	52970	107.64145
	3345	2018_02_14	02_09_33	52960	107.64151
	3346	2018_02_14	02_09_43	52950	107.64133
	3347	2018_02_14	02_09_53	52940	107.64145
	3348	2018_02_14	02_10_03	52930	107.64162
	3349	2018_02_14	02_10_13	52920	107.64165
	3350	2018_02_14	02_10_23	52910	107.64139
	3351	2018_02_14	02_10_33	52900	107.64177
	3352	2018_02_14	02_10_43	52890	107.64145
	3353	2018_02_14	02_10_53	52880	107.64115
	3354	2018_02_14	02_11_03	52870	107.64124
	3355	2018_02_14	02_11_13	52860	107.64192
	3356	2018_02_14	02_11_23	52850	107.64189
	3357	2018_02_14	02_11_33	52840	107.64209
	3358	2018_02_14	02_11_43	52830	107.64174
	3359	2018_02_14	02_11_53	52820	107.6418
	3360	2018_02_14	02_12_03	52810	107.64195
	3361	2018_02_14	02_12_13	52800	107.64256
	3362	2018_02_14	02_12_23	52790	107.64198
	3363	2018_02_14	02_12_33	52780	107.64259
	3364	2018_02_14	02_12_43	52770	107.6423
	3365	2018_02_14	02_12_53	52760	107.64259
	3366	2018_02_14	02_13_03	52750	107.64259
	3367	2018_02_14	02_13_13	52740	107.64177
	3368	2018_02_14	02_13_23	52730	107.64195
	3369	2018_02_14	02_13_33	52720	107.64171
	3370	2018_02_14	02_13_43	52710	107.64209
	3371	2018_02_14	02_13_53	52700	107.64209
	3372	2018_02_14	02_14_03	52690	107.64227
	3373	2018_02_14	02_14_13	52680	107.64239
	3374	2018_02_14	02_14_23	52670	107.64227
	3375	2018_02_14	02_14_33	52660	107.64203
	3376	2018_02_14	02_14_43	52650	107.64195
	3377	2018_02_14	02_14_53	52640	107.64212
	3378	2018_02_14	02_15_03	52630	107.6425
	3379	2018_02_14	02_15_13	52620	107.6418
	3380	2018_02_14	02_15_23	52610	107.64206
	3381	2018_02_14	02_15_33	52600	107.64203
	3382	2018_02_14	02_15_43	52590	107.64242
	3383	2018_02_14	02_15_53	52580	107.64192
	3384	2018_02_14	02_16_03	52570	107.64177
	3385	2018_02_14	02_16_13	52560	107.64227
	3386	2018_02_14	02_16_23	52550	107.64227
	3387	2018_02_14	02_16_33	52540	107.64242
	3388	2018_02_14	02_16_43	52530	107.64259
	3389	2018_02_14	02_16_53	52520	107.64265
	3390	2018_02_14	02_17_03	52510	107.6425
	3391	2018_02_14	02_17_13	52500	107.64268
	3392	2018_02_14	02_17_23	52490	107.64306
	3393	2018_02_14	02_17_33	52480	107.64324
	3394	2018_02_14	02_17_43	52470	107.64324
	3395	2018_02_14	02_17_53	52460	107.64315
	3396	2018_02_14	02_18_03	52450	107.6433
	3397	2018_02_14	02_18_13	52440	107.64339
	3398	2018_02_14	02_18_23	52430	107.64295
	3399	2018_02_14	02_18_33	52420	107.64362
	3400	2018_02_14	02_18_43	52410	107.6435
	3401	2018_02_14	02_18_53	52400	107.64371
	3402	2018_02_14	02_19_03	52390	107.64327
	3403	2018_02_14	02_19_13	52380	107.64359
	3404	2018_02_14	02_19_23	52370	107.64303
	3405	2018_02_14	02_19_33	52360	107.64368
	3406	2018_02_14	02_19_43	52350	107.64336
	3407	2018_02_14	02_19_53	52340	107.64277
	3408	2018_02_14	02_20_03	52330	107.64303
	3409	2018_02_14	02_20_13	52320	107.64292
	3410	2018_02_14	02_20_23	52310	107.64347
	3411	2018_02_14	02_20_33	52300	107.64324
	3412	2018_02_14	02_20_43	52290	107.64292
	3413	2018_02_14	02_20_53	52280	107.64312
	3414	2018_02_14	02_21_03	52270	107.6435
	3415	2018_02_14	02_21_13	52260	107.64371
	3416	2018_02_14	02_21_23	52250	107.64356
	3417	2018_02_14	02_21_33	52240	107.64365
	3418	2018_02_14	02_21_43	52230	107.64374
	3419	2018_02_14	02_21_53	52220	107.64374
	3420	2018_02_14	02_22_03	52210	107.64356
	3421	2018_02_14	02_22_13	52200	107.64386
	3422	2018_02_14	02_22_23	52190	107.64365
	3423	2018_02_14	02_22_33	52180	107.64368
	3424	2018_02_14	02_22_43	52170	107.64342
	3425	2018_02_14	02_22_53	52160	107.6435
	3426	2018_02_14	02_23_03	52150	107.64374
	3427	2018_02_14	02_23_13	52140	107.64383
	3428	2018_02_14	02_23_23	52130	107.64365
	3429	2018_02_14	02_23_33	52120	107.64327
	3430	2018_02_14	02_23_43	52110	107.64312
	3431	2018_02_14	02_23_53	52100	107.64347
	3432	2018_02_14	02_24_03	52090	107.64339
	3433	2018_02_14	02_24_13	52080	107.6435
	3434	2018_02_14	02_24_23	52070	107.64289
	3435	2018_02_14	02_24_33	52060	107.64306
	3436	2018_02_14	02_24_43	52050	107.64297
	3437	2018_02_14	02_24_53	52040	107.64344
	3438	2018_02_14	02_25_03	52030	107.64274
	3439	2018_02_14	02_25_13	52020	107.64286
	3440	2018_02_14	02_25_23	52010	107.64318
	3441	2018_02_14	02_25_33	52000	107.64271
	3442	2018_02_14	02_25_43	51990	107.64309
	3443	2018_02_14	02_25_53	51980	107.64312
	3444	2018_02_14	02_26_03	51970	107.64336
	3445	2018_02_14	02_26_13	51960	107.64327
	3446	2018_02_14	02_26_23	51950	107.64344
	3447	2018_02_14	02_26_33	51940	107.64336
	3448	2018_02_14	02_26_43	51930	107.64389
	3449	2018_02_14	02_26_53	51920	107.64336
	3450	2018_02_14	02_27_03	51910	107.6438
	3451	2018_02_14	02_27_13	51900	107.64374
	3452	2018_02_14	02_27_23	51890	107.64389
	3453	2018_02_14	02_27_33	51880	107.64435
	3454	2018_02_14	02_27_43	51870	107.64412
	3455	2018_02_14	02_27_53	51860	107.64412
	3456	2018_02_14	02_28_03	51850	107.6445
	3457	2018_02_14	02_28_13	51840	107.6443
	3458	2018_02_14	02_28_23	51830	107.6443
	3459	2018_02_14	02_28_33	51820	107.64447
	3460	2018_02_14	02_28_43	51810	107.64456
	3461	2018_02_14	02_28_53	51800	107.64433
	3462	2018_02_14	02_29_03	51790	107.64485
	3463	2018_02_14	02_29_13	51780	107.64444
	3464	2018_02_14	02_29_23	51770	107.64482
	3465	2018_02_14	02_29_33	51760	107.64477
	3466	2018_02_14	02_29_43	51750	107.64474
	3467	2018_02_14	02_29_53	51740	107.64424
	3468	2018_02_14	02_30_03	51730	107.64456
	3469	2018_02_14	02_30_13	51720	107.64459
	3470	2018_02_14	02_30_23	51710	107.64453
	3471	2018_02_14	02_30_33	51700	107.64438
	3472	2018_02_14	02_30_43	51690	107.64406
	3473	2018_02_14	02_30_53	51680	107.64482
	3474	2018_02_14	02_31_03	51670	107.64441
	3475	2018_02_14	02_31_13	51660	107.64438
	3476	2018_02_14	02_31_23	51650	107.64438
	3477	2018_02_14	02_31_33	51640	107.64438
	3478	2018_02_14	02_31_43	51630	107.64444
	3479	2018_02_14	02_31_53	51620	107.64403
	3480	2018_02_14	02_32_03	51610	107.64438
	3481	2018_02_14	02_32_13	51600	107.644
	3482	2018_02_14	02_32_23	51590	107.64371
	3483	2018_02_14	02_32_33	51580	107.64403
	3484	2018_02_14	02_32_43	51570	107.64415
	3485	2018_02_14	02_32_53	51560	107.64374
	3486	2018_02_14	02_33_03	51550	107.64418
	3487	2018_02_14	02_33_13	51540	107.64406
	3488	2018_02_14	02_33_23	51530	107.64394
	3489	2018_02_14	02_33_33	51520	107.64344
	3490	2018_02_14	02_33_43	51510	107.64389
	3491	2018_02_14	02_33_53	51500	107.64383
	3492	2018_02_14	02_34_03	51490	107.64389
	3493	2018_02_14	02_34_13	51480	107.64409
	3494	2018_02_14	02_34_23	51470	107.64371
	3495	2018_02_14	02_34_33	51460	107.6438
	3496	2018_02_14	02_34_43	51450	107.64353
	3497	2018_02_14	02_34_53	51440	107.64374
	3498	2018_02_14	02_35_03	51430	107.64389
	3499	2018_02_14	02_35_13	51420	107.64383
	3500	2018_02_14	02_35_23	51410	107.64324
	3501	2018_02_14	02_35_33	51400	107.64327
	3502	2018_02_14	02_35_43	51390	107.64377
	3503	2018_02_14	02_35_53	51380	107.64386
	3504	2018_02_14	02_36_03	51370	107.64303
	3505	2018_02_14	02_36_13	51360	107.64309
	3506	2018_02_14	02_36_23	51350	107.64315
	3507	2018_02_14	02_36_33	51340	107.64297
	3508	2018_02_14	02_36_43	51330	107.64347
	3509	2018_02_14	02_36_53	51320	107.64421
	3510	2018_02_14	02_37_03	51310	107.64342
	3511	2018_02_14	02_37_13	51300	107.64292
	3512	2018_02_14	02_37_23	51290	107.64342
	3513	2018_02_14	02_37_33	51280	107.64339
	3514	2018_02_14	02_37_43	51270	107.64365
	3515	2018_02_14	02_37_53	51260	107.6435
	3516	2018_02_14	02_38_03	51250	107.64339
	3517	2018_02_14	02_38_13	51240	107.64318
	3518	2018_02_14	02_38_23	51230	107.64309
	3519	2018_02_14	02_38_33	51220	107.64315
	3520	2018_02_14	02_38_43	51210	107.64318
	3521	2018_02_14	02_38_53	51200	107.6433
	3522	2018_02_14	02_39_03	51190	107.64297
	3523	2018_02_14	02_39_13	51180	107.64306
	3524	2018_02_14	02_39_23	51170	107.64362
	3525	2018_02_14	02_39_33	51160	107.64339
	3526	2018_02_14	02_39_43	51150	107.64318
	3527	2018_02_14	02_39_53	51140	107.64312
	3528	2018_02_14	02_40_03	51130	107.64303
	3529	2018_02_14	02_40_13	51120	107.64295
	3530	2018_02_14	02_40_23	51110	107.64362
	3531	2018_02_14	02_40_33	51100	107.64371
	3532	2018_02_14	02_40_43	51090	107.64374
	3533	2018_02_14	02_40_53	51080	107.64356
	3534	2018_02_14	02_41_03	51070	107.64359
	3535	2018_02_14	02_41_13	51060	107.64391
	3536	2018_02_14	02_41_23	51050	107.64391
	3537	2018_02_14	02_41_33	51040	107.64397
	3538	2018_02_14	02_41_43	51030	107.64344
	3539	2018_02_14	02_41_53	51020	107.64391
	3540	2018_02_14	02_42_03	51010	107.64377
	3541	2018_02_14	02_42_13	51000	107.64415
	3542	2018_02_14	02_42_23	50990	107.64415
	3543	2018_02_14	02_42_33	50980	107.64339
	3544	2018_02_14	02_42_43	50970	107.64342
	3545	2018_02_14	02_42_53	50960	107.64289
	3546	2018_02_14	02_43_03	50950	107.64344
