Pt.	Date	Time	RT/s	R/Omiga	
	187	2018_02_13	17_23_13	1860	107.3596
	188	2018_02_13	17_23_23	1870	107.36245
	189	2018_02_13	17_23_33	1880	107.36565
	190	2018_02_13	17_23_43	1890	107.36894
	191	2018_02_13	17_23_53	1900	107.37264
	192	2018_02_13	17_24_03	1910	107.3759
	193	2018_02_13	17_24_13	1920	107.37898
	194	2018_02_13	17_24_23	1930	107.38201
	195	2018_02_13	17_24_33	1940	107.38477
	196	2018_02_13	17_24_43	1950	107.38782
	197	2018_02_13	17_24_53	1960	107.39137
	198	2018_02_13	17_25_03	1970	107.3941
	199	2018_02_13	17_25_13	1980	107.39704
	200	2018_02_13	17_25_23	1990	107.39992
	201	2018_02_13	17_25_33	2000	107.40294
	202	2018_02_13	17_25_43	2010	107.40579
	203	2018_02_13	17_25_53	2020	107.40897
	204	2018_02_13	17_26_03	2030	107.41146
	205	2018_02_13	17_26_13	2040	107.41437
	206	2018_02_13	17_26_23	2050	107.41722
	207	2018_02_13	17_26_33	2060	107.41974
	208	2018_02_13	17_26_43	2070	107.4225
	209	2018_02_13	17_26_53	2080	107.42527
	210	2018_02_13	17_27_03	2090	107.42776
	211	2018_02_13	17_27_13	2100	107.43035
	212	2018_02_13	17_27_23	2110	107.43308
	213	2018_02_13	17_27_33	2120	107.43522
	214	2018_02_13	17_27_43	2130	107.4383
	215	2018_02_13	17_27_53	2140	107.4406
	216	2018_02_13	17_28_03	2150	107.44286
	217	2018_02_13	17_28_13	2160	107.44518
	218	2018_02_13	17_28_23	2170	107.4472
	219	2018_02_13	17_28_33	2180	107.44941
	220	2018_02_13	17_28_43	2190	107.45167
	221	2018_02_13	17_28_53	2200	107.45399
	222	2018_02_13	17_29_03	2210	107.45645
	223	2018_02_13	17_29_13	2220	107.45854
	224	2018_02_13	17_29_23	2230	107.4608
	225	2018_02_13	17_29_33	2240	107.46277
	226	2018_02_13	17_29_43	2250	107.46494
	227	2018_02_13	17_29_53	2260	107.46667
	228	2018_02_13	17_30_03	2270	107.46855
	229	2018_02_13	17_30_13	2280	107.47061
	230	2018_02_13	17_30_23	2290	107.47272
	231	2018_02_13	17_30_33	2300	107.47496
	232	2018_02_13	17_30_43	2310	107.4769
	233	2018_02_13	17_30_53	2320	107.47901
	234	2018_02_13	17_31_03	2330	107.48068
	235	2018_02_13	17_31_13	2340	107.48218
	236	2018_02_13	17_31_23	2350	107.48441
	237	2018_02_13	17_31_33	2360	107.48644
	238	2018_02_13	17_31_43	2370	107.48756
	239	2018_02_13	17_31_53	2380	107.48955
	240	2018_02_13	17_32_03	2390	107.49117
	241	2018_02_13	17_32_13	2400	107.49322
	242	2018_02_13	17_32_23	2410	107.49496
	243	2018_02_13	17_32_33	2420	107.4964
	244	2018_02_13	17_32_43	2430	107.49766
